<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,5,20200813,172500,115.17,115.38,115.16,115.31,1323204,0
AAPL.US,5,20200813,173000,115.31,115.34,114.9,114.92,1806780,0
AAPL.US,5,20200813,173500,114.93,115.17,114.9,115.12,1472152,0
AAPL.US,5,20200813,174000,115.12,115.26,114.89,114.96,1401464,0
AAPL.US,5,20200813,174500,114.96,115.15,114.94,115.11,1135308,0
AAPL.US,5,20200813,175000,115.12,115.32,115.12,115.31,1343852,0
AAPL.US,5,20200813,175500,115.32,115.38,115.19,115.28,1095952,0
AAPL.US,5,20200813,180000,115.29,115.56,115.27,115.46,2196796,0
AAPL.US,5,20200813,180500,115.47,115.5,115.32,115.37,1098936,0
AAPL.US,5,20200813,181000,115.36,115.46,115.32,115.43,964468,0
AAPL.US,5,20200813,181500,115.42,115.62,115.38,115.52,1664376,0
AAPL.US,5,20200813,182000,115.52,115.67,115.49,115.52,1745480,0
AAPL.US,5,20200813,182500,115.53,115.61,115.4,115.54,1335020,0
AAPL.US,5,20200813,183000,115.54,115.73,115.52,115.69,1709100,0
AAPL.US,5,20200813,183500,115.69,115.81,115.58,115.79,1764352,0
AAPL.US,5,20200813,184000,115.8,115.9,115.74,115.9,1841316,0
AAPL.US,5,20200813,184500,115.91,115.92,115.85,115.86,1290496,0
AAPL.US,5,20200813,185000,115.87,115.9,115.71,115.73,1038744,0
AAPL.US,5,20200813,185500,115.74,115.95,115.71,115.94,1157164,0
AAPL.US,5,20200813,190000,115.94,116.04,115.86,115.88,1669880,0
AAPL.US,5,20200813,190500,115.88,115.9,115.73,115.83,1355424,0
AAPL.US,5,20200813,191000,115.84,115.88,115.78,115.82,759164,0
AAPL.US,5,20200813,191500,115.82,115.84,115.52,115.6,1753816,0
AAPL.US,5,20200813,192000,115.61,115.68,115.38,115.38,1464696,0
AAPL.US,5,20200813,192500,115.38,115.43,115,115.3,2788256,0
AAPL.US,5,20200813,193000,115.31,115.36,115.09,115.13,1623988,0
AAPL.US,5,20200813,193500,115.14,115.35,114.91,115.31,2405936,0
AAPL.US,5,20200813,194000,115.32,115.5,115.24,115.48,1727516,0
AAPL.US,5,20200813,194500,115.48,115.54,115.39,115.46,1287216,0
AAPL.US,5,20200813,195000,115.45,115.64,115.4,115.62,1593544,0
AAPL.US,5,20200813,195500,115.61,115.62,115.28,115.36,1267040,0
AAPL.US,5,20200813,200000,115.36,115.42,115.16,115.33,1192968,0
AAPL.US,5,20200813,200500,115.34,115.38,115.19,115.32,1051448,0
AAPL.US,5,20200813,201000,115.31,115.31,114.97,115.12,1601292,0
AAPL.US,5,20200813,201500,115.13,115.2,114.83,114.88,1855312,0
AAPL.US,5,20200813,202000,114.89,115,114.59,114.72,2467048,0
AAPL.US,5,20200813,202500,114.74,115.07,114.71,114.98,2202904,0
AAPL.US,5,20200813,203000,114.99,115.09,114.9,115.02,1465472,0
AAPL.US,5,20200813,203500,115.02,115.04,114.58,114.75,2064580,0
AAPL.US,5,20200813,204000,114.75,114.84,114.55,114.6,1302168,0
AAPL.US,5,20200813,204500,114.6,115.09,114.6,114.75,2494236,0
AAPL.US,5,20200813,205000,114.75,114.8,114.19,114.5,3642672,0
AAPL.US,5,20200813,205500,114.52,114.62,114.26,114.47,1713756,0
AAPL.US,5,20200813,210000,114.46,114.7,114.38,114.6,1905600,0
AAPL.US,5,20200813,210500,114.59,114.69,114.44,114.47,1639584,0
AAPL.US,5,20200813,211000,114.47,114.68,114.32,114.64,1696976,0
AAPL.US,5,20200813,211500,114.63,114.91,114.52,114.84,1708668,0
AAPL.US,5,20200813,212000,114.84,115.18,114.83,115.13,2177636,0
AAPL.US,5,20200813,212500,115.12,115.14,114.94,115.03,1424724,0
AAPL.US,5,20200813,213000,115.04,115.11,114.94,115.1,1273764,0
AAPL.US,5,20200813,213500,115.09,115.32,115.06,115.08,2075848,0
AAPL.US,5,20200813,214000,115.08,115.25,115,115.25,1690780,0
AAPL.US,5,20200813,214500,115.24,115.25,114.82,114.96,2072868,0
AAPL.US,5,20200813,215000,114.95,115.17,114.93,115.13,1865624,0
AAPL.US,5,20200813,215500,115.14,115.25,114.88,115.01,7375692,0
AAPL.US,5,20200814,153000,114.83,114.89,114.17,114.17,4964428,0
AAPL.US,5,20200814,153500,114.18,114.58,114.08,114.45,2533492,0
AAPL.US,5,20200814,154000,114.47,114.47,114.17,114.24,1591428,0
AAPL.US,5,20200814,154500,114.24,114.25,113.47,113.63,4683412,0
AAPL.US,5,20200814,155000,113.64,113.89,113.42,113.78,2984656,0
AAPL.US,5,20200814,155500,113.78,114.1,113.69,113.88,2480372,0
AAPL.US,5,20200814,160000,113.85,114.06,113.68,113.75,1926216,0
AAPL.US,5,20200814,160500,113.73,113.93,113.72,113.85,1573580,0
AAPL.US,5,20200814,161000,113.84,113.99,113.64,113.73,1374252,0
AAPL.US,5,20200814,161500,113.78,113.86,113.53,113.61,1503712,0
AAPL.US,5,20200814,162000,113.61,113.72,113.47,113.66,1606212,0
AAPL.US,5,20200814,162500,113.68,113.7,113.33,113.34,1464224,0
AAPL.US,5,20200814,163000,113.35,113.49,113.23,113.46,2074504,0
AAPL.US,5,20200814,163500,113.46,113.65,113.35,113.63,1662608,0
AAPL.US,5,20200814,164000,113.62,113.75,113.62,113.71,1574476,0
AAPL.US,5,20200814,164500,113.72,113.76,113.62,113.67,1197284,0
AAPL.US,5,20200814,165000,113.67,113.83,113.44,113.5,1444296,0
AAPL.US,5,20200814,165500,113.5,113.52,113.27,113.31,1499712,0
AAPL.US,5,20200814,170000,113.31,113.35,113.04,113.13,2344528,0
AAPL.US,5,20200814,170500,113.13,113.4,113.07,113.35,1911588,0
AAPL.US,5,20200814,171000,113.34,113.44,113.2,113.32,1423648,0
AAPL.US,5,20200814,171500,113.33,113.39,113.04,113.16,1528872,0
AAPL.US,5,20200814,172000,113.17,113.43,113.15,113.4,1601700,0
AAPL.US,5,20200814,172500,113.4,113.69,113.4,113.65,1876780,0
AAPL.US,5,20200814,173000,113.65,114.02,113.61,113.96,2730444,0
AAPL.US,5,20200814,173500,113.97,114.06,113.85,113.95,1957700,0
AAPL.US,5,20200814,174000,113.95,114.04,113.8,113.83,1338588,0
AAPL.US,5,20200814,174500,113.83,114.05,113.68,113.79,1584928,0
AAPL.US,5,20200814,175000,113.77,113.83,113.64,113.68,1056068,0
AAPL.US,5,20200814,175500,113.68,113.93,113.68,113.93,913168,0
AAPL.US,5,20200814,180000,113.94,114.18,113.89,114.09,1654652,0
