<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLA.US,5,20200814,181000,329.43,329.55,328.5,328.75,281355,0
TSLA.US,5,20200814,181500,328.69,329.08,328.29,328.86,240070,0
TSLA.US,5,20200814,182000,328.7,330,328.69,329.57,227365,0
TSLA.US,5,20200814,182500,329.55,329.74,329,329.2,131580,0
TSLA.US,5,20200814,183000,329.2,329.5,329.07,329.22,82985,0
TSLA.US,5,20200814,183500,329.24,329.24,328.61,329,108345,0
TSLA.US,5,20200814,184000,328.99,329.4,328.7,329.21,99950,0
TSLA.US,5,20200814,184500,329.22,329.29,328.8,328.95,71255,0
TSLA.US,5,20200814,185000,329,329.16,328.2,328.46,195940,0
TSLA.US,5,20200814,185500,328.56,328.7,328.39,328.6,92875,0
TSLA.US,5,20200814,190000,328.6,328.6,327.4,327.49,201365,0
TSLA.US,5,20200814,190500,327.46,327.89,326.82,327.1,271245,0
TSLA.US,5,20200814,191000,327.1,328.4,326.95,328.15,227150,0
TSLA.US,5,20200814,191500,328.17,328.29,327.69,328.12,156295,0
TSLA.US,5,20200814,192000,327.99,329.6,327.6,329.6,300355,0
TSLA.US,5,20200814,192500,329.56,331.2,329.56,331.12,793535,0
TSLA.US,5,20200814,193000,331.06,331.6,329.88,330.2,498400,0
TSLA.US,5,20200814,193500,329.87,330.64,329.27,329.49,408290,0
TSLA.US,5,20200814,194000,329.47,330.37,329.32,329.87,262925,0
TSLA.US,5,20200814,194500,329.8,329.94,329,329.12,209075,0
TSLA.US,5,20200814,195000,329.13,329.88,328.7,328.92,282955,0
TSLA.US,5,20200814,195500,328.98,329.23,328.54,329.23,174140,0
TSLA.US,5,20200814,200000,329.25,329.25,328.31,328.34,164955,0
TSLA.US,5,20200814,200500,328.37,328.96,328.2,328.57,206725,0
TSLA.US,5,20200814,201000,328.48,329.03,328.26,329.01,193785,0
TSLA.US,5,20200814,201500,329.05,329.17,328.44,328.54,212660,0
TSLA.US,5,20200814,202000,328.6,328.72,328.4,328.52,131780,0
TSLA.US,5,20200814,202500,328.45,328.8,327.4,328.57,490675,0
TSLA.US,5,20200814,203000,328.54,329.07,328.29,328.9,238370,0
TSLA.US,5,20200814,203500,328.92,329.34,328.66,329.13,219235,0
TSLA.US,5,20200814,204000,329.06,329.13,328.2,328.21,171895,0
TSLA.US,5,20200814,204500,328.25,328.48,328.12,328.32,143495,0
TSLA.US,5,20200814,205000,328.26,328.48,327.84,328.3,165885,0
TSLA.US,5,20200814,205500,328.32,328.48,328.05,328.14,95300,0
TSLA.US,5,20200814,210000,328.09,328.28,327.66,327.7,150975,0
TSLA.US,5,20200814,210500,327.78,327.98,327.25,327.33,210250,0
TSLA.US,5,20200814,211000,327.28,327.4,325.64,326.06,554755,0
TSLA.US,5,20200814,211500,326.1,326.9,325.33,326.45,661155,0
TSLA.US,5,20200814,212000,326.47,327.97,326.44,327.62,492765,0
TSLA.US,5,20200814,212500,327.62,328.82,327.06,328.17,633905,0
TSLA.US,5,20200814,213000,328.12,329,327.54,328.71,504820,0
TSLA.US,5,20200814,213500,328.71,328.82,328.25,328.5,294580,0
TSLA.US,5,20200814,214000,328.4,328.87,328,328.7,313770,0
TSLA.US,5,20200814,214500,328.74,328.8,328.38,328.55,303890,0
TSLA.US,5,20200814,215000,328.44,330.34,328.2,330.2,860100,0
